radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
306.009625,0.653,19.790347,0.948,4,13.651,0.063,14.769,0.126,14.408,0.43,13.237,0.085,12.991,0.104
306.012024,0.473,19.8617,0.572,4,13.099,0.033,13.647,0.088,13.6,0.385,12.971,0.128,12.945,0.172
306.012119,0.561,19.850259,0.508,4,13.207,0.037,14.051,0.159,13.861,0.429,12.887,0.1,12.695,0.087
306.012829,0.317,19.802446,0.267,4,11.693,0.035,12.844,0.089,12.487,0.398,11.272,0.084,10.989,0.07
306.015169,0.277,19.907488,0.77,2,14.707,0,15.959,0,15.819,-0.062,14.228,0,NA,NA
306.017133,0.884,19.782499,0.435,3,14.828,0.108,15.393,0.292,15.638,0.432,14.447,0.006,NA,NA
306.021493,0.32,19.950054,0.37,4,12.952,0.036,14.227,0.16,13.828,0.397,12.551,0.101,12.275,0.031
306.023303,0.969,19.983677,0.566,2,15.055,0.011,15.927,0.039,16.141,0,14.653,0,NA,NA
306.023582,0.399,19.857468,0.268,4,12.42,0.026,12.904,0.093,12.86,0.397,12.266,0.058,12.255,0.114
306.02459,0.691,19.889108,0.52,2,14.495,0.021,15.045,0.012,15.103,0.558,14.223,0,14.173,0
306.025808,0.7,19.936783,0.573,4,13.451,0.052,14.913,0.08,14.415,0.397,12.863,0.082,12.473,0.077
306.027223,0.988,19.880467,0.376,2,14.647,0.008,15.18,0.014,15.184,0.585,14.465,0,14.316,0
306.02741,0.852,19.80597,0.792,4,13.87,0.097,14.691,0.215,14.475,0.39,13.648,0.082,13.724,0.026
306.028341,0.55,19.847817,0.428,3,13.955,0.052,15.115,0.055,14.968,0.504,13.511,0.1,13.254,0.008
306.029091,1.28,19.840679,0.498,2,14.795,0.008,15.47,0.021,15.955,0,14.47,0,14.563,0
306.032221,0.444,19.899941,0.512,2,14.775,0.046,15.393,0.047,NA,NA,NA,NA,NA,NA
306.034659,0.531,19.828449,0.479,4,13.315,0.067,13.805,0.098,13.78,0.37,13.089,0.057,13.163,0.071
306.034692,0.759,19.979102,0.354,2,15.041,0,16.056,0,16.283,-0.089,14.566,0,NA,NA
306.037744,0.259,19.874692,0.336,4,12.183,0.041,12.904,0.07,12.761,0.394,11.931,0.07,11.873,0.084
306.040156,0.479,19.950563,0.366,4,13.198,0.041,13.851,0.139,13.758,0.375,12.979,0.079,12.92,0.134
